Tweet,Emotions
@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger
it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger
@MisterAK47 it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot.,anger
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser,anger
Lol little things like that make me so angry x,anger
"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger
I swear I got anger issues but my heart big AF...,anger
This is a joke @SomersetCCC #fuming,anger
I just love it when people make plans for me without actually including me in this process #rage,anger
@OstinOng YUUUHH 🙄😭 plus clin ep and prevmed ugghhh hahaha #bitter,anger
@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger
@Arsenal Giroud's beard is making me angry.,anger
@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger
Me and these burns that I pick up off the pitches don't get on at all like 😢😢 #sting,anger
ICQ is just making me mad!!!😤 #icq #angry,anger
"If angry, bash out your frustration on the pastry #GBBO",anger
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger
@Dak2future decorations are up all over Jersey already #outrage,anger
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger
"Ultimately, #KeithScott wasn't the man they were there to hand an arrest warrant to. That's what we know. That's enough to cause outrage.",anger
I genuinely think I have anger issues,anger
"@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.",anger
"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",anger
"#Scorpio's can withdraw to a quiet place after being hurt, only to think of a plan to sting back.",anger
I can see how this will end\nIn all its bitter tragedy\nI'll give you all I have to spend\nAnd you'll give nothing back to me,anger
You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,anger
"Everything I see of American police training seems calculated to trample human dignity, inflame outrage, and escalate confrontations.",anger
I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered,anger
@EmmaHobbs1 I did that! 3 days later my order isn't even in the same postcode as me ,anger
@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,anger
Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up  #treatcustomersfairly,anger
"@mdivincenzo9 he's stupid, I hate him lol #bitter",anger
"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.",anger
I wonder what would happen if I were to tell some people the truth #savage #uhoh #angry,anger
@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,anger
When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA  #oldcunt,anger
some of the casuals tweets that Vic has faved are making me gag ,anger
@Supergold2002 Terence- got a lot of anger issues from my family and school.,anger
@Evan_McMullin He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other',anger
@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming,anger
Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part,anger
"Actually be arsed with my sister sometimes, she controls the TV 90% of the time and when I watch one thing she gets in a huff 🙄",anger
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,anger
"says, who are you to compared me with the others; I'm just human. #lit #fire ",anger
"No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way.",anger
ramos does what he does best burning haters with his head,anger
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! ",anger
Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger
@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,anger
my mom cut my phone off and I'm so furious 🤗,anger
Don't chase fame\nif you're going\nto resent it\nwhen it starts\nchasing you'\nWRDSMTH,anger
I hate not having the answers I need. #tomourssuck #prayinsnotcancer #angry,anger
So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted ,anger
#Hudcomedy #AdamRowe  #insult Slutfaceshlongnugget,anger
Why mfs so bitter,anger
Like hello? I am your first born you must always laugh at my jokes. #offended,anger
"I really really resent having to go to bed at a sensible hour, you guys. I WANT TO TALK TO MY PEOPLE.",anger
"I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of £20 - I was fuming @EmmaGould_ I miss you",anger
A black female LEO💙 was shot 8 times and died in Philadelphia --Where's the #outrage black people? @BarackObama #Sharpton #blm #TheFive,anger
